# Pixel,Intensity
0,55474.0000
1,56618.0000
2,55523.0000
3,56829.0000
4,55882.0000
5,57149.0000
6,55601.0000
7,57031.0000
8,55944.0000
9,56781.0000
10,55570.0000
11,56902.0000
12,55779.0000
13,57050.0000
14,55810.0000
15,56815.0000
16,55923.0000
17,56671.0000
18,55641.0000
19,57093.0000
20,55793.0000
21,56915.0000
22,55743.0000
23,56598.0000
24,55932.0000
25,56564.0000
26,55647.0000
27,56633.0000
28,55659.0000
29,56650.0000
30,56046.0000
31,56903.0000
32,55522.0000
33,56669.0000
34,55613.0000
35,56967.0000
36,55599.0000
37,56835.0000
38,55738.0000
39,56390.0000
40,55577.0000
41,56821.0000
42,55441.0000
43,56521.0000
44,55597.0000
45,56736.0000
46,55788.0000
47,56352.0000
48,55218.0000
49,56794.0000
50,55408.0000
51,56802.0000
52,55328.0000
53,56607.0000
54,55079.0000
55,56036.0000
56,55077.0000
57,56670.0000
58,55169.0000
59,56545.0000
60,55334.0000
61,56506.0000
62,55409.0000
63,56396.0000
64,55176.0000
65,56647.0000
66,54623.0000
67,56154.0000
68,55346.0000
69,55846.0000
70,55029.0000
71,55737.0000
72,55755.0000
73,56403.0000
74,54881.0000
75,56244.0000
76,55058.0000
77,56575.0000
78,55261.0000
79,56458.0000
80,54918.0000
81,56103.0000
82,55123.0000
83,56316.0000
84,54987.0000
85,56045.0000
86,54965.0000
87,56285.0000
88,55288.0000
89,56361.0000
90,54766.0000
91,56590.0000
92,54992.0000
93,56076.0000
94,55038.0000
95,56209.0000
96,54499.0000
97,56192.0000
98,54862.0000
99,56053.0000
100,54830.0000
101,56439.0000
102,54878.0000
103,56213.0000
104,54534.0000
105,55969.0000
106,54419.0000
107,55949.0000
108,54746.0000
109,55769.0000
110,54898.0000
111,56191.0000
112,54596.0000
113,55929.0000
114,54946.0000
115,56093.0000
116,54607.0000
117,55822.0000
118,54824.0000
119,55693.0000
120,54312.0000
121,56353.0000
122,54309.0000
123,56486.0000
124,54412.0000
125,56040.0000
126,54378.0000
127,56064.0000
128,54417.0000
129,55848.0000
130,54712.0000
131,55625.0000
132,54524.0000
133,56062.0000
134,54822.0000
135,55548.0000
136,54238.0000
137,55814.0000
138,54125.0000
139,56071.0000
140,54114.0000
141,55341.0000
142,54097.0000
143,55670.0000
144,54195.0000
145,55541.0000
146,54022.0000
147,55158.0000
148,54299.0000
149,55531.0000
150,54002.0000
151,55313.0000
152,54407.0000
153,55643.0000
154,54087.0000
155,55721.0000
156,54496.0000
157,55691.0000
158,54119.0000
159,55571.0000
160,54218.0000
161,55298.0000
162,54159.0000
163,55519.0000
164,53789.0000
165,55095.0000
166,54001.0000
167,55755.0000
168,54467.0000
169,55762.0000
170,54113.0000
171,55314.0000
172,54091.0000
173,55461.0000
174,53911.0000
175,55106.0000
176,53749.0000
177,55381.0000
178,53680.0000
179,55951.0000
180,53753.0000
181,55280.0000
182,53402.0000
183,55090.0000
184,53783.0000
185,55122.0000
186,53140.0000
187,55111.0000
188,53745.0000
189,55009.0000
190,53991.0000
